#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
204	8.160000e-03	-3.580000e-05	-6.782381e+04	6.781789e+04	1.214003e+00	1.214026e+00	1.995063e-05
205	8.200000e-03	-3.600000e-05	-6.819562e+04	6.820339e+04	1.227605e+00	1.227628e+00	1.986550e-05
206	8.240000e-03	-3.620000e-05	-6.857679e+04	6.857937e+04	1.241283e+00	1.241306e+00	1.935797e-05
207	8.280000e-03	-3.640000e-05	-6.896162e+04	6.895291e+04	1.255037e+00	1.255059e+00	1.965836e-05
208	8.320000e-03	-3.660000e-05	-6.933519e+04	6.933628e+04	1.268866e+00	1.268889e+00	2.003698e-05
209	8.360000e-03	-3.680000e-05	-6.971051e+04	6.971858e+04	1.282771e+00	1.282794e+00	1.956964e-05
210	8.400000e-03	-3.700000e-05	-7.009575e+04	7.009139e+04	1.296752e+00	1.296774e+00	1.941397e-05
211	8.440000e-03	-3.720000e-05	-7.047501e+04	7.046888e+04	1.310808e+00	1.310831e+00	1.991725e-05
212	8.480000e-03	-3.740000e-05	-7.084758e+04	7.085434e+04	1.324941e+00	1.324964e+00	1.987363e-05
213	8.520000e-03	-3.760000e-05	-7.122806e+04	7.123136e+04	1.339149e+00	1.339171e+00	1.940049e-05
214	8.560000e-03	-3.780000e-05	-7.161218e+04	7.160416e+04	1.353432e+00	1.353455e+00	1.962942e-05
215	8.600000e-03	-3.800000e-05	-7.198719e+04	7.198724e+04	1.367792e+00	1.367815e+00	2.000607e-05
216	8.640000e-03	-3.820000e-05	-7.236181e+04	7.236971e+04	1.382227e+00	1.382250e+00	1.963145e-05
217	8.680000e-03	-3.840000e-05	-7.274605e+04	7.274270e+04	1.396738e+00	1.396761e+00	1.940205e-05
218	8.720000e-03	-3.860000e-05	-7.312643e+04	7.312009e+04	1.411325e+00	1.411348e+00	1.988283e-05
219	8.760000e-03	-3.880000e-05	-7.349876e+04	7.350464e+04	1.425987e+00	1.426011e+00	1.989662e-05
220	8.800000e-03	-3.900000e-05	-7.387851e+04	7.388233e+04	1.440726e+00	1.440748e+00	1.942767e-05
221	8.840000e-03	-3.920000e-05	-7.426266e+04	7.425538e+04	1.455540e+00	1.455562e+00	1.960476e-05
222	8.880000e-03	-3.940000e-05	-7.463801e+04	7.463715e+04	1.470429e+00	1.470452e+00	1.999026e-05
223	8.920000e-03	-3.960000e-05	-7.501256e+04	7.502014e+04	1.485395e+00	1.485418e+00	1.966217e-05
224	8.960000e-03	-3.980000e-05	-7.539590e+04	7.539363e+04	1.500436e+00	1.500458e+00	1.941196e-05
225	9.000000e-03	-4.000000e-05	-7.577676e+04	7.577015e+04	1.515553e+00	1.515576e+00	1.983648e-05
226	9.040000e-03	-4.020000e-05	-7.614951e+04	7.615459e+04	1.530745e+00	1.530768e+00	1.991110e-05
227	9.080000e-03	-4.040000e-05	-7.652831e+04	7.653260e+04	1.546013e+00	1.546036e+00	1.945509e-05
